Brand Name,Model Number,Combined Energy Factor
Amana,NED4655E*+,3.73
Amana,YNED5800H**,3.93
Asko,T208H.W.U,4.5
Beko,BDV7200X,3.27
Beko,HPD24400W,5.7
Beko,HPD24412W,5.7
Blomberg,DHP24400W,5.7
Blomberg,DHP24412W,5.7
Bosch,WTG86401UC,2.73
Bosch,WTG86402UC,2.73
Bosch,WTG865H2UC,2.73
Crosley,CED7464G**,3.93
Crosley,YFD45ESPM***,3.93
Crosley,YFD45ESSM***,3.93
Crosley,YFD45GSPM***,3.48
Crosley,YFD45GSSM***,3.48
Electrolux,EFDC317****,3.93
Electrolux,EFDE317****,3.93
Electrolux,EFDG317****,3.48
Electrolux,EFMC417****,3.93
Electrolux,EFMC427****,3.93
Electrolux,EFMC517****,3.93
Electrolux,EFMC527****,3.93
Electrolux,EFMC617****,3.93
Electrolux,EFMC627****,3.93
Electrolux,EFME417****,3.93
Electrolux,EFME427****,3.93
Electrolux,EFME517****,3.93
Electrolux,EFME527****,3.93
Electrolux,EFME617****,3.93
Electrolux,EFME627****,3.93
Electrolux,EFME627****,3.93
Electrolux,EFMG417****,3.48
Electrolux,EFMG427****,3.48
Electrolux,EFMG517****,3.48
Electrolux,EFMG527****,3.48
Electrolux,EFMG617****,3.48
Electrolux,EFMG627****,3.48
Electrolux,ELFE7337***,3.93
Electrolux,FFRE4120***,3.73
Gaggenau,WT262700,2.73
GE,GFD14ES*N***,3.45
GE,GFD40ESCM***,3.93
GE,GFD40ESM****,3.93
GE,GFD40GSCM***,3.48
GE,GFD40GSM****,3.48
GE,GFD45ESM****,3.93
GE,GFD45ESSM***,3.93
GE,GFD45ESSM***,3.93
GE,GFD45GSM***,3.48
GE,GFD45GSSM***,3.48
GE,GFD49E**K***,3.93
GE,GFD49G**K***,3.48
GE,GFD55ES*N***,3.93
GE,GFD65ES*N***,3.93
GE,GFD85ES*N***,3.93
GE,GFT14ES*M***,2.68
GE,GFT14JS*M***,2.68
GE,GFV40ESCM***,3.93
GE,GTD45EASJ***,3.73
GE,GTD65EB*J***,3.93
GE,GTD65EB*J***,3.93
GE,GTD65EB*K***,3.93
GE,GTD65EB*L***,3.93
GE,GTD65EB*L***,3.93
GE,GTD65GB*J***,3.48
GE,GTD65GB*K***,3.48
GE,GTD65GB*L***,3.48
GE,GTD72EB*N***,3.93
GE,GTD75ECML***,3.93
GE,GTD75ECPL***,3.93
GE,GTD75ECSL***,3.93
GE,GTD75GCML***,3.48
GE,GTD75GCPL***,3.48
GE,GTD75GCSL***,3.48
GE,GTD81ESPJ2MC,3.93
GE,GTD81ESSJ2WS,3.93
GE,GTD81GS*J***,3.48
GE,GTD86ES*J***,3.93
GE,GTD86GS*J***,3.48
GE,GTX52EA*P***,3.73
GE,GTX65EB*J***,3.93
GE,GTX65GB*J***,3.48
GE,GUD24ESSM***,3.73
GE,GUD27ESSM***,3.73
GE,HTX24EA*K***,3.73
GE,QFD15ES*N***,3.45
Inglis,YIED5900H**,3.93
Insignia,NS-FDRE77WH8B,3.93
Kenmore,592-8966*,3.94
Kenmore,592-8967*,3.94
Kenmore,592-8968*,3.94
Kenmore,592-8969*,3.94
Kenmore,592-9969*,3.49
Kenmore,6142####,3.94
Kenmore,6142#,3.94
Kenmore,6143#,3.93
Kenmore,6146####,3.94
Kenmore,6146#,3.94
Kenmore,6155#,3.94
Kenmore,6163261*,3.93
Kenmore,6163361*,3.93
Kenmore,6813*41+,3.93
Kenmore,6913*41+,3.93
Kenmore,7142####,3.49
Kenmore,7142#,3.49
Kenmore,7143#,3.48
Kenmore,7146####,3.49
Kenmore,7146#,3.49
Kenmore,7155#,3.49
Kenmore,7163261*,3.48
Kenmore,7163361*,3.48
Kenmore,8139#,3.94
Kenmore,8158####,3.94
Kenmore,8158#,3.94
Kenmore,8159#,3.94
Kenmore,8159####,4.3
Kenmore,8178#,3.93
Kenmore,9139#,3.49
Kenmore,9158####,3.49
Kenmore,9158#,3.49
Kenmore,9178#,3.48
Kenmore,C6163*61*,3.93
Kenmore,C6813*41*,3.93
Kenmore,C6913*41*,3.93
LG,DLE1501*,3.94
LG,DLE1501*E,3.94
LG,DLE3075*,3.94
LG,DLE3090*,3.94
LG,DLE3095*,3.94
LG,DLE3170*,3.94
LG,DLE3180*,3.94
LG,DLE3400*,3.94
LG,DLE3500*,3.94
LG,DLE3600*,3.93
LG,DLE7050*,3.94
LG,DLE7100*,3.94
LG,DLE7200*E,3.94
LG,DLE7300*E,3.94
LG,DLEX3370*,3.94
LG,DLEX3700*,3.94
LG,DLEX3900*,3.94
LG,DLEX4270*,3.94
LG,DLEX4370*,3.94
LG,DLEX5000*,3.94
LG,DLEX5005*,3.94
LG,DLEX5500*,3.94
LG,DLEX5780*E,3.94
LG,DLEX7200*,3.94
LG,DLEX7300*E,3.94
LG,DLEX7600*,3.94
LG,DLEX7600*E,3.94
LG,DLEY1701*E,3.94
LG,DLEY1901*E,3.94
LG,DLG1502*,3.49
LG,DLG1502*E,3.49
LG,DLG3171*,3.49
LG,DLG3181*,3.49
LG,DLG3501*,3.49
LG,DLG7051*,3.49
LG,DLG7101*,3.49
LG,DLG7201*E,3.49
LG,DLG7301*E,3.49
LG,DLGX3371*,3.49
LG,DLGX3701*,3.49
LG,DLGX3901*,3.49
LG,DLGX4271*,3.49
LG,DLGX4371*,3.49
LG,DLGX5001*,3.49
LG,DLGX5006*,3.49
LG,DLGX5011*,3.49
LG,DLGX5781*E,3.49
LG,DLGX7601*,3.49
LG,DLGX7601*E,3.49
LG,DLGY1702*E,3.49
LG,DLGY1902*E,3.49
LG,DLHX4072*,4.3
LG,DLHX4372*,4.3
LG,WKE100H*A,3.93
LG,WKEX200H*A,3.93
Maytag,MED3100D*+,3.93
Maytag,MED3500FW*,3.93
Maytag,MED4100D*+,3.93
Maytag,MED5100D*+,3.93
Maytag,MED5500FC*,3.93
Maytag,MED5500FW*,3.93
Maytag,MED5630H**,3.93
Maytag,MED6630H**,3.93
Maytag,MED6630H**,3.93
Maytag,MED7100D*+,3.93
Maytag,MED7230H**,3.93
Maytag,MED8100D*+,3.93
Maytag,MED8150EC*,3.93
Maytag,MED8150EW*,3.93
Maytag,MED8200FC*,3.93
Maytag,MED8200FW*,3.93
Maytag,MED8630H**,3.93
Maytag,MED8630H**,3.93
Maytag,MEDB765F**,3.73
Maytag,MEDB835D*+,3.93
Maytag,MEDB855D*+,3.93
Maytag,MEDB955FC*,3.93
Maytag,MEDB955FS*,3.93
Maytag,MEDB955FW*,3.93
Maytag,MEDX655D*+,3.73
Maytag,MGD5630H**,3.48
Maytag,MGD6630H**,3.48
Maytag,MGD8630H**,3.48
Maytag,MGDB955FC*,3.48
Maytag,MGDB955FS*,3.48
Maytag,MGDB955FW*,3.48
Maytag,YMED3100D*+,3.93
Maytag,YMED3500FW*,3.93
Maytag,YMED4100D*+,3.93
Maytag,YMED5100D*+,3.93
Maytag,YMED5500FC*,3.93
Maytag,YMED5500FW*,3.93
Maytag,YMED5630H**,3.93
Maytag,YMED6630H**,3.93
Maytag,YMED7100D*+,3.93
Maytag,YMED8100D*+,3.93
Maytag,YMED8200FC*,3.93
Maytag,YMED8200FW*,3.93
Maytag,YMED8630H**,3.93
Maytag,YMEDB835D*+,3.93
Maytag,YMEDB855D*+,3.93
Maytag,YMEDB955FC*,3.93
Maytag,YMEDB955FS*,3.93
Maytag,YMEDB955FW*,3.93
Miele,TWB120 WP,6.37
Miele,TWF160 WP,6.37
Miele,TWF160 WP,6.37
Miele,TWI180 WP,6.37
Roper,RED4516F**,3.73
Samsung,DV22K680*E*,3.27
Samsung,DV22N680*H*,5.8
Samsung,DV22N685*H*,5.8
Samsung,DV42H50**E*,3.73
Samsung,DV42H50**G*,3.30
Samsung,DV45K62**E*,3.94
Samsung,DV45K62**G*,3.49
Samsung,DV45K65**E*,3.94
Samsung,DV45K65**G*,3.49
Samsung,DV45K71**E*,3.94
Samsung,DV45K71**G*,3.49
Samsung,DV45K76**E*,3.94
Samsung,DV45K76**G*,3.49
Samsung,DV48J770*E*,3.94
Samsung,DV48J770*G*,3.49
Samsung,DV48J777*E*,3.94
Samsung,DV48J777*G*,3.49
Samsung,DV50K75**E*,3.94
Samsung,DV50K75**G*,3.49
Samsung,DV50K86**E*,3.94
Samsung,DV50K86**G*,3.49
Samsung,DV52J806*E*,3.94
Samsung,DV52J806*G*,3.49
Samsung,DV52J870*E*,3.94
Samsung,DV52J870*G*,3.49
Samsung,DVE45M55***,3.94
Samsung,DVE45N63***,3.94
Samsung,DVE45R61***,3.73
Samsung,DVE45R63***,3.93
Samsung,DVE52M77***,3.94
Samsung,DVE52M86***,3.94
Samsung,DVE54M87***,3.94
Samsung,DVE54R72***,3.93
Samsung,DVE54R76***,3.93
Samsung,DVE55M96***,3.94
Samsung,DVE60M99***,3.94
Samsung,DVG45M55***,3.49
Samsung,DVG52M77***,3.49
Samsung,DVG52M86***,3.49
Samsung,DVG54M87***,3.49
Samsung,DVG55M96***,3.49
Samsung,DVG60M99***,3.49
Speed Queen,ADEE9***175+,3.73
Whirlpool,WED560LH**,3.93
Whirlpool,WED5620H**,3.93
Whirlpool,WED5620H**,3.93
Whirlpool,WED6620H**,3.93
Whirlpool,WED72HED*+,3.93
Whirlpool,WED7500V**,3.27
Whirlpool,WED7505FW*,3.93
Whirlpool,WED7540FW*,3.93
Whirlpool,WED7590FW*,3.93
Whirlpool,WED75HEFW*,3.93
Whirlpool,WED7990FW*,4.5
Whirlpool,WED8000D*+,3.93
Whirlpool,WED81HED*+,3.93
Whirlpool,WED8500D*+,3.93
Whirlpool,WED8510FW*,3.93
Whirlpool,WED8540FW*,3.93
Whirlpool,WED85HEFBL*,3.93
Whirlpool,WED85HEFC*,3.93
Whirlpool,WED85HEFW*,3.93
Whirlpool,WED8620H**,3.93
Whirlpool,WED8700E**,3.93
Whirlpool,WED8740D*+,3.93
Whirlpool,WED87HED*+,3.93
Whirlpool,WED90HEFC*,3.93
Whirlpool,WED90HEFW*,3.93
Whirlpool,WED9290FC*,4.5
Whirlpool,WED9290FW*,4.5
Whirlpool,WED92HEFBD*,3.93
Whirlpool,WED92HEFC*,3.93
Whirlpool,WED92HEFU*,3.93
Whirlpool,WED92HEFW*,3.93
Whirlpool,WED9500EC*,3.93
Whirlpool,WED9500EW*,3.93
Whirlpool,WED95HED*+,3.93
Whirlpool,WED9620H**,3.93
Whirlpool,WED9750EW*,3.93
Whirlpool,WED97HED*+,3.93
Whirlpool,WED99HED*+,4.5
Whirlpool,WGD560LH**,3.48
Whirlpool,WGD5620H**,3.48
Whirlpool,WGD6620H**,3.48
Whirlpool,WGD8620H**,3.48
Whirlpool,WGD9500EC*,3.48
Whirlpool,WGD9500EW*,3.48
Whirlpool,WGD9620H**,3.48
Whirlpool,WHD3090G**,3.71
Whirlpool,WHD5090G**,3.71
Whirlpool,WHD560CH**,5.2
Whirlpool,WHD862CH**,5.2
Whirlpool,YWED560LH**,3.93
Whirlpool,YWED5620H**,3.93
Whirlpool,YWED6620H**,3.93
Whirlpool,YWED72HED*+,3.93
Whirlpool,YWED7505FW*,3.93
Whirlpool,YWED7540FW*,3.93
Whirlpool,YWED75HEFW*,3.93
Whirlpool,YWED7990FW*,4.5
Whirlpool,YWED8000D*+,3.93
Whirlpool,YWED81HED*+,3.93
Whirlpool,YWED8540FW*,3.93
Whirlpool,YWED85HEFBL*,3.93
Whirlpool,YWED85HEFC*,3.93
Whirlpool,YWED85HEFW*,3.93
Whirlpool,YWED8620H**,3.93
Whirlpool,YWED87HED*+,3.93
Whirlpool,YWED90HEFC*,3.93
Whirlpool,YWED90HEFW*,3.93
Whirlpool,YWED9290FC*,4.5
Whirlpool,YWED9290FW*,4.5
Whirlpool,YWED92HEFBD*,3.93
Whirlpool,YWED92HEFC*,3.93
Whirlpool,YWED92HEFU*,3.93
Whirlpool,YWED92HEFW*,3.93
Whirlpool,YWED9500EC*,3.93
Whirlpool,YWED9500EW*,3.93
Whirlpool,YWED95HED*+,3.93
Whirlpool,YWED9620H**,3.93
Whirlpool,YWED97HED*+,3.93
Whirlpool,YWED99HED*+,4.5
Whirlpool,YWHD3090G**,3.71
Whirlpool,YWHD5090G**,3.71
