Brand Name,Model Number,Net Airflow (CFM),Power Consumption (Watts),ASRE (%)
ALDES,H95TRG,53,30,74

ALDES,H190TRG,121,110,75
ALDES,H190TRG,51,56,85
ALDES,H190TRG,64,68,82
ALDES,H190TRG,81,70,80
ALDES,H95TRG,64,32,71
ALDES,H95TRG,91,50,66
Broan,ERV100,49,40,73
Broan,ERV100,64,50,70
Broan,ERV100,85,64,66
Broan,ERV70T,36,34,74
Broan,ERV70T,64,50,65
Broan,ERVS100,106,103,63
Broan,ERVS100,64,46,68
Broan,HRV160T,117,90,74
Broan,HRV160T,66,54,80
Broan,HRV160T,85,66,78
Broan,HRV80,47,39,71
Broan,HRV80,61,48,68
Broan,HRVH100S,51,42,72
Broan,HRVH100S,64,51,66
Carrier,HRVXXSVB1100,50,43,74
Carrier,HRVXXSVB1100,64,58,70
Carrier,HRVXXSVB1100,83,70,66
Fantech,SE 704N,40,39,62
Fantech,SE 704N,60,42,59
Fantech,SE 704N,80,43,56
Honeywell,VNT5200H1000,127,92,72
Honeywell,VNT5200H1000,61,62,82
Honeywell,VNT5200H1000,91,74,78
Lennox,HRV3150TPD,117,140,64
Lennox,HRV3150TPD,66,74,68
Lennox,HRV3150TPD,85,86,68
Lifebreath,130ERVD,102,102,77
Lifebreath,130ERVD,112,102,75
Lifebreath,130ERVD,64,66,82
Lifebreath,130ERVR,117,106,75
Lifebreath,130ERVR,64,76,83
Lifebreath,130ERVR,95,92,77
Lifebreath,155MAX,117,119,76
Lifebreath,155MAX,64,71,82
Lifebreath,155MAX,95,113,79
Lifebreath,170ERVD,117,96,76
Lifebreath,170ERVD,51,62,88
Lifebreath,170ERVD,66,62,85
Lifebreath,195DCS,114,98,83
Lifebreath,195DCS,155,123,79
Lifebreath,195DCS,74,74,88
Lifebreath,195DCS,97,88,84
Lifebreath,195ECM,104,43,79
Lifebreath,195ECM,117,70,79
Lifebreath,195ECM,64,22,81
Lifebreath,205MAX,100,76,78
Lifebreath,205MAX,119,92,76
Lifebreath,205MAX,64,60,82
Lifebreath,230ERVR,64,64,87
Lifebreath,300DCS,117,120,83
Lifebreath,300DCS,140,129,81
Lifebreath,300DCS,167,184,81
Lifebreath,95MAX,59,59,88
Lifebreath,95MAX,70,58,86
Lifebreath,95MAX,89,89,86
Lifebreath,RNC155,117,119,76
Lifebreath,RNC155,64,71,82
Lifebreath,RNC155,95,113,79
Lifebreath,RNC200,117,108,65
Lifebreath,RNC200,64,74,71
Lifebreath,RNC200,95,95,67
Lifebreath,RNC4TPF,55,36,72
Lifebreath,RNC4TPF,66,42,70
Panasonic,FV04VE1,10,17,66
Panasonic,FV04VE1,20,21,66
Panasonic,FV04VE1,40,23,66
Panasonic,FV10VE1,53,24,84
Panasonic,FV10VE1,66,34,81
Panasonic,FV10VE1,85,54,79
Panasonic,FV10VEC1,53,26,84
Panasonic,FV10VEC1,66,34,81
Panasonic,FV10VEC1,85,54,79
RenewAire,SL70,53,30,68
Venmar,X24HRVECM,100,28,77
Venmar,X24HRVECM,140,47,72
Venmar,X24HRVECM,64,19,82
Zehnder,CA200HRV,108,60,90
Zehnder,CA200HRV,66,34,90
Zehnder,CA200HRV,87,44,90
Zehnder,CA350HRV,100,32,90
Zehnder,CA350HRV,129,50,88
Zehnder,CA350HRV,66,20,90
Zehnder,CAQ600 HRV,167,72,90
Zehnder,CAQ600 HRV,231,148,88
Zehnder,CAQ600 HRV,305,296,80
Zehnder,ComfoAir550,106,41,95
Zehnder,ComfoAir550,132,69,95
Zehnder,ComfoAir550,165,110,95
Zehnder,ComfoAir550,194,160,95
Zehnder,ComfoAir550,224,220,95
Zehnder,ComfoAir550,253,310,95
Zehnder,ComfoAir550,271,350,95
Zehnder,ComfoAir550,29,13,95
Zehnder,ComfoAir550,82,26,95
